text,sentiment,Time of Tweet,Age of User,Country
Bout 2 Miss Mah Lakers Play 2day...  This Orange Box Is **** Up The Rotation!.. Mah Real LA Fam.. Keep Me Posted!.. I LOVE HATERS 2!!,neutral,morning,46-60,Burundi
"the play`s over, it was really good",positive,noon,60-70,Côte d'Ivoire
OUCH!!!!!!!!!!!!!!!.........that really hurt!!!,negative,night,70-100,Cabo Verde
 at work!! Agh I really need to go with you  what days do you go so that I can add it to my schedule!,positive,morning,0-20,Cambodia
"[H]ouse starts on Sunday and I`m sad as I can`t afford Sky,",negative,noon,21-30,Cameroon
is thinking WOW I survived Freshman year...Mission Accomplished...Now Sophomore year,positive,night,31-45,Canada
If my phone dies I will die too!,negative,morning,46-60,Central African Republic
will miss jay leno ..,negative,noon,60-70,Chad
 I think I`ve heard of that song. I`ll listen to it tomorrow.,neutral,night,70-100,Chile
"We`ll be moving from a strength to a hypertrophy phase for chest, back, shoulders and arms for the next few weeks. Legs will stay behind",neutral,morning,0-20,China
happy mothers day to all..im gonna help mine right now.she deserves it..you guys should too..,positive,noon,21-30,Colombia
I`ve got to catch the bus to work,neutral,night,31-45,Comoros
have to put my dog down tomorrow.,neutral,morning,46-60,Congo (Congo-Brazzaville)
Today was not an inspirational photography day  #photography -  http://twurl.nl/jnizbw,negative,noon,60-70,Costa Rica
" YES!! I made the sign when i noticed it missing on Sunday! So far, no luck... It`s now Unlucky Japanese Cat...",negative,night,70-100,Croatia
 I know!!  effing embarrassing! Eff our lives,negative,morning,0-20,Cuba
Bar exam madness:  topic for today is torts,neutral,noon,21-30,Cyprus
"Just got out the shower, Sitting on my towel  I Hate TwitterBerry I Can`t Reply To Tweets",negative,night,31-45,Czechia (Czech Republic)
 more seo voodoo  Google has your cache. NOARCHIVE only hides it from users.,neutral,morning,46-60,Democratic Republic of the Congo
"#BGT Quite an awkward moment, poor girl  I hope she doesn`t loose it again.",neutral,noon,60-70,Denmark
"At work again, when the weather is beautifullll",neutral,night,70-100,Djibouti
good morninÃ¯Â¿Â½everybody  happy mothers-day to every mom,positive,morning,0-20,Dominica
"My mom has annoyed the living **** outta me, so now we`re on AOL Radio, looking for Brooks & Dunn.",negative,noon,21-30,Dominican Republic
"Flat is sparkling clean, now that`s team work  on way to pick up food for 6!",positive,night,31-45,Ecuador
This is what I have to give a 7 day old baby  poor thing  http://yfrog.com/6pwwlj,negative,morning,46-60,Egypt
 resistance was futile! Needed pretties to knit with,negative,noon,60-70,El Salvador
"i need to see ...now! someone buy me a plane ticket, please?",neutral,night,70-100,Equatorial Guinea
    You guys can make it through!,neutral,morning,0-20,Eritrea
" awww thanks Jon! My 9yr old told me I was to sleep in, while they all clean the house.. best mom`s day present ever!",positive,noon,21-30,Estonia
"just got home from Tillie`s dance recital. lol, it was spectacular!",positive,night,31-45,"Eswatini (fmr. ""Swaziland"")"
 tut tut. Isn`t charging just fun. Thr new palm pre charging platform looks nifty tho.,positive,morning,46-60,Ethiopia
Going to work.  Could use some happy pills,positive,noon,60-70,Fiji
Jacqueline Wilson day on CBBC,neutral,night,70-100,Finland
 IÃ¯Â¿Â½m good! You coming on just as IÃ¯Â¿Â½m off to drive home...,neutral,morning,0-20,France
 I know!! our cats could be family  mikesh is so cute!!,positive,noon,21-30,Gabon
don`t you hate it when you finish all your work and there`s still 1.25 hours left of work time,negative,night,31-45,Gambia
" Ouch! Sunburn`s bad! Hope it`s not to sore on your bedding, that`s always the problem.",negative,morning,46-60,Georgia
sad day... told my students this is my last year here... a lot of crying since..,negative,noon,60-70,Germany
"m still watchin Boston Legal tho it cracks me up 2, scrubs earlier was good  i guess i just like a laugh!!!",positive,night,70-100,Ghana
My logic to getting a short prom dress? Last year it was so freaking hot I was dying... Look at the weather...  hahah just my luck,neutral,morning,0-20,Greece
jen! we havent talked in like 3 days!,negative,noon,21-30,Grenada
 you givein lady ga ga arun for her money in that get up hee hee love it,positive,night,31-45,Guatemala
 that plain sux. kinda like cheers goin off the air.,neutral,morning,46-60,Guinea
"Today is just not my day. I can`t seem to feel any better. If i dont eat, im hungry. If i do eat, i feel like im gonna be sick. Blah",negative,noon,60-70,Guinea-Bissau
"i need sweets, drank my cyderrrrrrrrr",neutral,night,70-100,Guyana
"Out if class!! Yow party + four hour lecture don`t mix attal!! I had to drink 3 red bulls & I`m still sleepy .,,,,smh! Alrite bedtime",neutral,morning,0-20,Haiti
 yea. I was off today luv. I shudve told u.   anything exciting happen yet. And I saw u last night,positive,noon,21-30,Holy See
pmg im very upset no just relasie hugh laurie isnt on  **** ohh,negative,night,31-45,Honduras
"  it does but the screen is dark - so when i click it, i hang up on whoever im talking to",neutral,morning,46-60,Hungary
I want it NOW..  finally found what I wanted ..,positive,noon,60-70,Iceland
Has finally taken a shower after much distraction from twitter and the bubble wrap off to read  and drink a smoothie,neutral,night,70-100,India
" Heehee, how did you know who I was talking about?",neutral,morning,0-20,Indonesia
_Zol I would like to make a comment about the password but I can`t on this medium,neutral,noon,21-30,Iran
editing something in photoshoot  NILEY,neutral,night,31-45,Iraq
Yogulicious? another sour sally competitor,neutral,morning,46-60,Ireland
 yeah I was like oh oh oh yeah that`s it but then she said no  lol bummer,neutral,noon,60-70,Israel
" they did,",neutral,night,70-100,Italy
 Good luck with the footage - none of the stations are breaking in live with it,positive,morning,0-20,Jamaica
 i know!! No money for pedicures!!,negative,noon,21-30,Japan
_Star95 oh so you know how I feel then  **** representative for bank of america tried to make it sound like I did it. What a b ...,negative,night,31-45,Jordan
 really?  wooooo! I wish i could go to indonesia! Lol. Hopefully next summer.,positive,morning,46-60,Kazakhstan
 well just remember that tmrw is another day and hopefully won`t be as craptastic. sorry girrrrl,neutral,noon,60-70,Kenya
"I missed you yesterday, Lacey.    We get to go to granulation tonight, though.",negative,night,70-100,Kiribati
assumes it wasnt so taboo to start an email with 'LOL' considering that the reply it got started with 'ROFL. PWN3D.' I love the internet!,positive,morning,0-20,Kuwait
 It means 'luv ya' in Zulu/Xhosa. Probably spelt it wrong lol. Can`t b creative 2day ...tired  so translated,neutral,noon,21-30,Kyrgyzstan
  i got too do course work   i hate it it is hard this one,negative,night,31-45,Laos
working today.  Can`t find my key so I had to borrow Miranda`s.,neutral,morning,46-60,Latvia
With My Boy Still  He`s everything to me,neutral,noon,60-70,Lebanon
 ..people you love.... wait i am not there,positive,night,70-100,Lesotho
 Awwwww!!!! And the gorgeous photo from California!!! You two make me melt!!!,positive,morning,0-20,Liberia
" lol, Thanks for the morning Chuckle   Not sure if you follow me? Please check..",positive,noon,21-30,Libya
Happy Mother`s Day Mommies,positive,night,31-45,Liechtenstein
Went to see 'UP'. It was a really good movie that pulls at the heart strings  i highly recommend it,positive,morning,46-60,Lithuania
 awww  omg garbo fake playing during one of the songs!!! haha,negative,noon,60-70,Luxembourg
 Perfect! Thank you.  <3<3,positive,night,70-100,Madagascar
BYEEEEE!!!,neutral,morning,0-20,Malawi
" dear michael sorce, you crack me up! sincerely, me",neutral,noon,21-30,Malaysia
 i hope you feel better,positive,night,31-45,Maldives
well us Brits have to wait a few more days for it!  I thought it was all gonna released at once! I guess it`s worth the wait!,neutral,morning,46-60,Mali
"  Yah, they have footlong sausage too mah. But Halal place..piggy sausages are bigger",neutral,noon,60-70,Malta
Getting ready for an early night tweeps!   Have a great one every 1,positive,night,70-100,Marshall Islands
" I could act in most Buffy eps  I have seen them so many times, but s1 was shaky (apart from eps 1,2,6,7 & 12)",neutral,morning,0-20,Mauritania
 great show today,positive,noon,21-30,Mauritius
wants to go to walmart. but won`t go alone,neutral,night,31-45,Mexico
'Ooh-ooh... it`s SHINY'. An dmore awe-tastic quotes from THE BEST ANIMATED MOVIE EVER coming up,positive,morning,46-60,Micronesia
back home early for once  - wow this thing is getting addictive..................**** u phil XD,positive,noon,60-70,Moldova
****. My friend`s in such a state and I don`t know how to help him. Nothing I say seems to be helping and I wish I knew what to say,negative,night,70-100,Monaco
my mobile phone refuses to charge!!  either the battery is broken or the chargerrr ( booooo,negative,morning,0-20,Mongolia
" aha, so that`s you.  I`ve been meaning to take a look. Looks cool. If you could just get a pool in there",positive,noon,21-30,Montenegro
 Hi Selena i made this team to support you in Greece and Cyprus,positive,night,31-45,Morocco
 i`m with you in this.  i`ve always have prob prioritizing myself ahead of him.,neutral,morning,46-60,Mozambique
"_**** :O really  well if u want, we can go 2gether next yr?",neutral,noon,60-70,Myanmar (formerly Burma)
" Maybe you have, my memory sucks.",negative,night,70-100,Namibia
Grey`s `Sweet Surrender`  http://tinyurl.com/d5mjyj,neutral,morning,0-20,Nauru
currently working on the SDP`s Prototype.... so much to do...,neutral,noon,21-30,Nepal
"Hi tweete, surprised to see everyone still up...maybe it`s the full moon",positive,night,31-45,Netherlands
 Hope you feel better soon and check out my cool backround on my profile,positive,morning,46-60,New Zealand
"Hey, im chillin right now, gettin ready for school   Mohawk Kidd",positive,noon,60-70,Nicaragua
"i feel extra-nauseous all of a sudden, like my stomach wasn`t ready to resume peristalsis after the events of two nights prior",negative,night,70-100,Niger
" youre not going, are you   ?",neutral,morning,0-20,Nigeria
I`m gonna miss them so much  I`m crying right now... :/,negative,noon,21-30,North Korea
 do u hav a garden? bunny probs r decidedly uncool.   thanks 4d link!,neutral,night,31-45,North Macedonia
" totally agree, but she always seems to be henpecking John, even before the cheating thing",neutral,morning,46-60,Norway
"Love is an air-conditioner on a hot day...a heater on a cold day...and a warm body in bed any day  -  yep, me again",positive,noon,60-70,Oman
 and I have a gentleman`s agreement: Whoever wins the first match (or is it best of three?) pays for the other person`s copy.,neutral,night,70-100,Pakistan
is thinking so much and i`m at work,neutral,morning,0-20,Palau
 What was the compiment? I`m glad you`re having a good time.,positive,noon,21-30,Palestine State
"It turns out I`m really, like, sixty years old, guys. You were right!!!!!  I`m off to seek my future a little later than planned!",neutral,night,31-45,Panama
"To make it worse, its my friends party tonight, and I`m stuck here. I haven`t seen her for months",negative,morning,46-60,Papua New Guinea
"watching shark boy and lava girl! on disney channel. hanging out with sarah jane, micah, & rachel",neutral,noon,60-70,Paraguay
my head is hurting..,negative,night,70-100,Peru
 I know!!!! He didn`t ask me,neutral,morning,0-20,Philippines
Photovia secondstar05) i dreamt i was doing spells from harry potter yesterday night lol  i loved it. http://tumblr.com/xyt1qynya,positive,noon,21-30,Poland
Oops that would be #edaust09,negative,night,31-45,Portugal
Crawling into bed super happy that the Penguins won tonight,positive,morning,46-60,Qatar
really ill atm,neutral,noon,60-70,Romania
my party is wiped out they be all dead and stuff,negative,night,70-100,Russia
its about to storm..soo much 4 goin out  ..ill just play on the net for awhile,neutral,morning,0-20,Rwanda
 I think I should... But with who? Hmmmm. Maybe a friend in ALASKA,neutral,noon,21-30,Saint Kitts and Nevis
 Ah GDit! Ranger game this afternoon,neutral,night,31-45,Saint Lucia
 ahh that would rock,neutral,morning,46-60,Saint Vincent and the Grenadines
 is enough time!! (if i get into VIP!) but i know that doesn`t make up for it  at least they`ll have each other!,neutral,noon,60-70,Samoa
 Hi! Im Barb frm IA. New to tweetin. Enjoy reading ur tweets. U seem like a wonderful person..I KNOW ur a wonderful actress,positive,night,70-100,San Marino
" Hey girl!  Yeah, my allergies kick in at the most random times. Hmph.",negative,morning,0-20,Sao Tome and Principe
 um... thats my favorite beer!! why must you torture me so when I can`t make it down there!!,neutral,noon,21-30,Saudi Arabia
" No, trying to reason with it. It didn`t listen",negative,night,31-45,Senegal
" I will, n btw happy mothers day sissy",positive,morning,46-60,Serbia
Have been rolling on the bed for the past 2 hours ... Still unable to sleep,neutral,noon,60-70,Seychelles
" As much as we would love that, it is hard to make ends meet up here ... with the job situations and all...",neutral,night,70-100,Sierra Leone
June gloom seems to have arrived early,neutral,morning,0-20,Singapore
I work in one hour,neutral,noon,21-30,Slovakia
  cuss u siad u weren`t having it...lol,neutral,night,31-45,Slovenia
... thanks everybody for your wonderful feedback re my Happiletter,positive,morning,46-60,Solomon Islands
 You are welcome.,positive,noon,60-70,Somalia
http://twitpic.com/4jkvh - I wasn`t bored really..  my redd converse. I love converse.,positive,night,70-100,South Africa
"Very very interesting night in Defiance to say the least... but hey, I got `Guys and Dolls` for free!",positive,morning,0-20,South Korea
_Rocks Just spurted Fanta out of my mouth laughing at that!,neutral,noon,21-30,South Sudan
 hope you have a great day tomorrow!!  happy mothers day!  let us know what you did,positive,night,31-45,Spain
 Don`t tease me! I`m in desperate need of an adjustment.,negative,morning,46-60,Sri Lanka
 OHH  yeah i sometimes forget  your in the other but cheek ok america,neutral,noon,60-70,Sudan
" well, the customer is always right (at least that`s what they tell me)",neutral,night,70-100,Suriname
sore head..hope my girls ok,neutral,morning,0-20,Sweden
" Alas, we can`t broadcast the lunches as we have no bandwidth in those rooms",negative,noon,21-30,Switzerland
"Back at home,11 hours till work",neutral,night,31-45,Syria
" That may be, I still don`t like hearing his name so much.   #blackhawks #canucks",negative,morning,46-60,Tajikistan
 i got talent too  u nvr hear me sing or dance them does call me Mini Breezy,neutral,noon,60-70,Tanzania
Bah I don`t think `s FB fan page will get to 7500,negative,night,70-100,Thailand
Last night was fun w the lightening and thunder  Today will be in the 90s,positive,morning,0-20,Timor-Leste
"Reading, cryin, reading, laughin...  Enjoying the ride while being enlightened and inspired by letters to a young sister!!  Thx Hill.",positive,noon,21-30,Togo
" Ahh man, and im off NEXT weekend",neutral,night,31-45,Tonga
Apperently ea knows my copy of the sims 3 is not legit and is upset,negative,morning,46-60,Trinidad and Tobago
" Thanks!  Your name strikes me every time I see it, as a friend of mine uses belofsouthie as her email",positive,noon,60-70,Tunisia
_ thats coz we love you,positive,night,70-100,Turkey
 Here`s getting cold.. And I got my coffee break 2 minutes ago. Enjoy your drink,positive,morning,0-20,Turkmenistan
Finally out of school for today! HAD TO SIT IN LIBRARY FOR A LONG TIME,negative,noon,21-30,Tuvalu
at home. have very sore feet. and am sad because the sale of my grandas house just went through. miss you,negative,night,31-45,Uganda
 are you are a RIOT!!,negative,morning,46-60,Ukraine
 ooohhh imma need you to get on that asap love you,positive,noon,60-70,United Arab Emirates
 i know... I don`t want to be left in our home by myself during the weekend...,negative,night,70-100,United Kingdom
Gonna get my ticket to Las Vegas today. Gotta check my milage. Can`t wait till August,neutral,morning,0-20,United States of America
 Grrr. We don`t finish until July 3rd.,negative,noon,21-30,Uruguay
" I Love This Song lol, You`re amazing Steph , xoxo",positive,night,31-45,Uzbekistan
 hey thanks mate your cool coz you watched it...,positive,morning,46-60,Vanuatu
i messed up my back/hip. it hurts so bad,negative,noon,60-70,Venezuela
My arms hurt,negative,night,70-100,Vietnam
" oh ok  good ... now i will jump for joy! M, you just made my day",positive,morning,0-20,Yemen
The moon is sooooo pretty,positive,noon,21-30,Zambia
I have too much homework to do today,negative,night,31-45,Zimbabwe
workin at la bootay... wheres the warm weather at???,neutral,morning,46-60,Afghanistan
depressed; my best friends pissed @ me,negative,noon,60-70,Albania
 yes........there are many cool things americans cannot watch,positive,night,70-100,Algeria
 ._.; Thanxxx ! Now with that message I just wanna leave !! )= ! BYE !,positive,morning,0-20,Andorra
  so thats how u spent ur weekend so far?,neutral,noon,21-30,Angola
"done with the fkn exam! n just bought the mothers day gift, finally... tada! the new prada fragrance  going to meet up mum n fam now : ...",neutral,night,31-45,Antigua and Barbuda
school is so pointlesss. seriously though. 7 days of school left and all we do is watch movies and make powerpoints. let me leaveeee,negative,morning,46-60,Argentina
 Have a good day,positive,noon,60-70,Armenia
 Caan`t Iht Be Earlier? ICant Wait That Long.  Ahar. (:,negative,night,70-100,Australia
happy mother`s day everyone,positive,morning,0-20,Austria
weekend along with the summer is here so why do I feel sad?,negative,noon,21-30,Azerbaijan
just going to cook some lamb chops for lunch - I always end up coking just before pay day and amaze myself at how much I can cook,positive,night,31-45,Bahamas
"getting off for the night, in such a great mood!",positive,morning,46-60,Bahrain
" From the champion team in the defunct MBA, Cebu Gems!",neutral,noon,60-70,Bangladesh
Hate this song  ? http://blip.fm/~5jg6f,neutral,night,70-100,Barbados
 ooo enjoy  and thanks for looking out for ours,positive,morning,0-20,Belarus
"partied w/  @_SML, elitecamp, rock steady crew + the ladies (wow), and of course crazy legs - holla! lmao - sober. totally sober",neutral,noon,21-30,Belgium
Snap. Breaking out again,negative,night,31-45,Belize
I buy the team Zotz and they decide to roast me.,negative,morning,46-60,Benin
hey  sending some Florida sunshine your way  Supertramp Ã¯Â¿Â½ It`s Raining Again Ã¯Â¿Â½  you m... ? http://blip.fm/~5jucn,neutral,noon,60-70,Bhutan
"- arrggh kids that won`t settle....need some Kava for Liam, that`ll sort `em...",neutral,night,70-100,Bolivia
"_ it just upsets me , becasue like 6 years we have loved them .. and then this happens  imm really uset now x",neutral,morning,0-20,Bosnia and Herzegovina
"honestly, why did the folks at Microsoft do MS Word 2007 to me?  I can`t believe I just spent 10 minutes finding auto correct options",neutral,noon,21-30,Botswana
_dazzles Well tonight would be a good time to watch.,positive,night,31-45,Brazil
I`ve listed lots of new beads on eBay!,neutral,morning,46-60,Brunei
bath time,neutral,noon,60-70,Bulgaria
"fuckkk i need sleepppppppp lol, happy mothers day mummy",neutral,night,70-100,Burkina Faso
Good movie.,positive,morning,0-20,Burundi
 ah! NFG were super amazing! Jordan is `pretty legit`!! Can`t stay longer 2 meet everyone cuz we hv 3 hour drive home!,positive,noon,21-30,Côte d'Ivoire
still shopping and looking for shoes now,neutral,night,31-45,Cabo Verde
Dump your worries in the Stress Fire. Fun and profoundly freeing  http://budurl.com/c765,positive,morning,46-60,Cambodia
A central lesson of history is that States are parasites which always expand until they destroy their host population. - Stefan Molyneux,negative,noon,60-70,Cameroon
" whaatttaatttt! she is a good cook and really creative, silly sierra",positive,night,70-100,Canada
i didnt get a hug today,neutral,morning,0-20,Central African Republic
finally gone!!!,positive,noon,21-30,Chad
"Took yesterday off & treated myself to an outfit & shoes, I have not treated myself in a while, my mothers day gift to me",positive,night,31-45,Chile
 lucky girl!!! I work all day tomorrow! and maybe even Monday!!,positive,morning,46-60,China
 RIP Michael,negative,noon,60-70,Colombia
"_KONG Record Grand Prix to skip through later, watch Man U game, Radio 1 .... well sport comes first",neutral,night,70-100,Comoros
 Dont worry man. You`ll see me just as much this week as you did last week.,positive,morning,0-20,Congo (Congo-Brazzaville)
: i miss you,negative,noon,21-30,Costa Rica
 mama the boys gon be sweating her hard in Pre K  lol muah,neutral,night,31-45,Croatia
SICK again,negative,morning,46-60,Cuba
wishing I were somewhere else besides here!!  Don`t worry this won`t dampen my day and neither will the rain,positive,noon,60-70,Cyprus
 Aniya666 yours wasn`t there,neutral,night,70-100,Czechia (Czech Republic)
"_21Thanks, I`ll keep working on her    lol good idea!",positive,morning,0-20,Democratic Republic of the Congo
"Season 2 of The Wire, done! Kinda weak compared to the first season but I expected that... Still good though  Season 3 here I come!",positive,noon,21-30,Denmark
_rashid aww how cute  I like that song a lot,positive,night,31-45,Djibouti
" Haha! Night man, and no, but Im sure I`ll meet her again in my lifetime, in fact I will...no doubt about it.",neutral,morning,46-60,Dominica
I totally forgot thats its friday till I read `s tweet. Ha. I feel dumb  *Take A Breath*,negative,noon,60-70,Dominican Republic
" The article on language groups in spaceports looks really cool, but i can`t open the site from that link.",neutral,night,70-100,Ecuador
 Teehee..I know it too!,neutral,morning,0-20,Egypt
Not a happy camper  not having a good day at all...,negative,noon,21-30,El Salvador
 how`s the translation going?,neutral,night,31-45,Equatorial Guinea
"New pic.... Twitter is finally letting me change my pic.  For those that missed it, Fannish Inquisition is now  please follow",neutral,morning,46-60,Eritrea
Ok. Night sweet people  I`ll look for ya tomorrow,neutral,noon,60-70,Estonia
Cuba trip booked,neutral,night,70-100,"Eswatini (fmr. ""Swaziland"")"
 check out the Conchords `Business Time`,neutral,morning,0-20,Ethiopia
" Ashlie, thank you.  You made me feel a little better.",positive,noon,21-30,Fiji
 oh darn i`m not in london,negative,night,31-45,Finland
" Nah, they don`t. All my Twiter followers are fabulous.",positive,morning,46-60,France
" strange, that is exactly the chapter god laid on my heart to read in The Message yeaterday morning...He works in mysterious ways",neutral,noon,60-70,Gabon
"feels very, very rough!",negative,night,70-100,Gambia
having a great mothers day,positive,morning,0-20,Georgia
" thanks for adding, no befriending, no, uh oh never mind, Thanks!",positive,noon,21-30,Germany
" yep,raced round it in cars and bikes,its only 40mins away,dont av much motorsport there now,its more planes n choppers now",neutral,night,31-45,Ghana
 hello nikki! i just ended my exams 2 hours ago!  how abt u?,neutral,morning,46-60,Greece
"Supernatural was mega good  Now I`m off to bed, urgh long day of school tomorrow x",neutral,noon,60-70,Grenada
" its like a little adventure, only Im kinda worried about her, and I cant take the bus to where she is cos my oyster is broken",negative,night,70-100,Guatemala
Still at work.,neutral,morning,0-20,Guinea
Finally home  Gonna hit the hay n sleep till noon lol,positive,noon,21-30,Guinea-Bissau
add me up: http://profiles.friendster.com/americanidolislove  friendster.,positive,night,31-45,Guyana
"You want ittt, you got ittt!",positive,morning,46-60,Haiti
" haha! thanks, Tiff   it went well, but they WORE ME OUT!!! lol. im too old for this ;)",neutral,noon,60-70,Holy See
_fann coming up! Sowwy!,negative,night,70-100,Honduras
" well, I took it in early `00, graduated in `01. we were the final stage guinea pigs  it seriously is a waste of time.",negative,morning,0-20,Hungary
http://twitpic.com/4jcfg - About to cycle within this quarry on Shipley glen near Baildon moor before heading back through the woods,neutral,noon,21-30,Iceland
 dude i am so sorry!!!!! I never got that number for you my fail  i just remembered,negative,night,31-45,India
"Argh, I can`t avoid spelling bee spoilers anywhere! Now I know the winning speller and word before having actually watched the bee.",neutral,morning,46-60,Indonesia
"is exhausted from a great weekend, and is looking forward to this week",neutral,noon,60-70,Iran
 I like all the songs  I can`t say just one guys! love ya,positive,night,70-100,Iraq
Disappointment really sucks!  I`m getting used to it.,negative,morning,0-20,Ireland
Can not afford the DR this year. I just can`t pull it off this time.,neutral,noon,21-30,Israel
 having a F**Kin` great day over there Graham isn`****,positive,night,31-45,Italy
i think the vog is making me sicker than i think. feeling slightly achy,negative,morning,46-60,Jamaica
Just got back from the grocery store. Now I`m starving and can`t find anything to eat!,negative,noon,60-70,Japan
has an exam at 10am - I slept about 3 hours last night,neutral,night,70-100,Jordan
 that sounds great right about now. It`s ridiculously hot in my house,neutral,morning,0-20,Kazakhstan
Healthy Wishes. I may just start saying that.,positive,noon,21-30,Kenya
IÃ¯Â¿Â½m JBobsessed  xD I miss them soooooo much!  They should have a live web cast on bookface ?  EVERY thursday xD,negative,night,31-45,Kiribati
", Whered you end up going? I stayed in & watched SNL, one of the funnier shows theyve done this season.",positive,morning,46-60,Kuwait
I am totally knackered and back in the meeting,negative,noon,60-70,Kyrgyzstan
 I need to cancel my appt for 1 have to be home from1-5 for washing machine repair man can I do on the am? So sorry,negative,night,70-100,Laos
God the weather in London is ammmmazing! Yet I`m on a train half the day,positive,morning,0-20,Latvia
 I only ever seem to listen to Dirty these days. Most of our CD`s are still at Greg`s parents,neutral,noon,21-30,Lebanon
" I always choose to be a good guy, even if I know its only a game, i feel a bit bad doing evil things",neutral,night,31-45,Lesotho
its friday & every1 has plans but me..my mom is laser tagging w/ friends(haha)My brother is out..my sister and dad r working me-bf=alone,neutral,morning,46-60,Liberia
OMJ JUSt qOt HOME fROM tHAt PARty! it`S 2:OO a.m! i`M MAN tiRED! GOODNiqHt AND HAPPY MOtHER`S DAY 2 ALL!!! tAkE CARE & GOD BlESS!,neutral,noon,60-70,Libya
 have your own style. it just might work.,positive,night,70-100,Liechtenstein
"...OOOPS AGAIN, the reply button is the RIGHT of the msg...now I`ll stop spamming",negative,morning,0-20,Lithuania
Changing Guitar strings.. Getting Ready To Perform `THE CLIMB` at my cousins birthdayy,neutral,noon,21-30,Luxembourg
_ yeah,neutral,night,31-45,Madagascar
If I loved this any more I`d streak thru the hood damnit ! I`m pumped,neutral,morning,46-60,Malawi
Is still stuck in the office working!,negative,noon,60-70,Malaysia
" by the way, it`s INconvenient...",negative,night,70-100,Maldives
@_hayles yer there must be-not sure tho-caught it off my brother but got it worse,negative,morning,0-20,Mali
_ - hey there.    How was your day?,neutral,noon,21-30,Malta
Getting ready for our annual old boys hockey competition  let`s bring down the students!,neutral,night,31-45,Marshall Islands
" 'arrest her' or, anything ending in -est that can be done to her.",negative,morning,46-60,Mauritania
 Thanks for tweeting a very useful set of refs - I`m in the middle of adding them to a chapter I`m editing,positive,noon,60-70,Mauritius
 Very nice!  Bea and I are so bummed we can`t make it   We should try and get together in the near future.,positive,night,70-100,Mexico
 Hello there! Thankyou. I always seem to make a difference in  someone`s life everyday.,positive,morning,0-20,Micronesia
I want to wish all the Mommy`s a happy mothers day!,positive,noon,21-30,Moldova
 Thanks for the reminder Tony,positive,night,31-45,Monaco
 just clicked on your bio. You`re in Cantazaro!? Have been to Italy several times. But never Calabria!,neutral,morning,46-60,Mongolia
gahh!! i`m so tired right now.,negative,noon,60-70,Montenegro
_ashley OH REALLY?!,neutral,night,70-100,Morocco
_d ...I`m so happy for you guys! COngratulations!,positive,morning,0-20,Mozambique
 heyyy girl.. havent tweeted u all week. hope all is well with you,positive,noon,21-30,Myanmar (formerly Burma)
"_Marls Nah I got bare work to do, 3 weeks left and I`m bare behind",negative,night,31-45,Namibia
 My wand? It`s a black hawthorn wand with a core of kraken heartstrings.  You?,neutral,morning,46-60,Nauru
"Worried about Bry, he has bronchitis and a sinus infection   Poor baby.",negative,noon,60-70,Nepal
 Nofair! My BK only had Uhura and Nero left.,negative,night,70-100,Netherlands
lay by the pool and take a nap. my agenda for the day,neutral,morning,0-20,New Zealand
 Yeah. Me too. Will lookout on your tweets too. Happy Tweeting,positive,noon,21-30,Nicaragua
ready for a day full of His presence  i`m expecting the best!,positive,night,31-45,Niger
 good catch!  Thanks a bunch- have to put up a new widget.,positive,morning,46-60,Nigeria
just got home from dinner and am really really full. my mom said my dad bought me a sony a200k? holyyyyyyy,positive,noon,60-70,North Korea
Having first beer in over 8 days what has happened to me and Im only having it cause Miss 8 wanted to get me one for mothers day.,negative,night,70-100,North Macedonia
" ... much more injustice than we can imagine now. It will get worse before it gets better, I am afraid. No doubt here. Sorry",negative,morning,0-20,Norway
  That is really sad,negative,noon,21-30,Oman
 http://twitpic.com/3x3wq - impossible to know them closely,neutral,night,31-45,Pakistan
 SS & i r @ the devon horse show. gettin` mostly rained out. lots of events have ben cancelled incl the coaches,neutral,morning,46-60,Palau
 IIII know!!! and mean,positive,noon,60-70,Palestine State
feels like spammers season .....is called summer season,neutral,night,70-100,Panama
making margaritas and about to watch Milk. Good times,positive,morning,0-20,Papua New Guinea
Ugh! I have to beat this stupid song to get to the next  rude!,negative,noon,21-30,Paraguay
now cassidy is butcking that i am **** lol cant ever win,neutral,night,31-45,Peru
" - We drank ours away, May Day Bank Holiday today",neutral,morning,46-60,Philippines
feeling nice... got a big **** smile on my face for no reason   take my **** to sleep right? lol,positive,noon,60-70,Poland
iPhone just fell,negative,night,70-100,Portugal
Hav fun at heav y Metal happy hour you guys! In the future  accadentally sets it on fire while smoking with ,negative,morning,0-20,Qatar
 You`re right- you don`t do sympathy very well,negative,noon,21-30,Romania
"Eh, I`ve gotta go to bed anyways. Goodnight.",neutral,night,31-45,Russia
 wow... that was very sexy,neutral,morning,46-60,Rwanda
"1 surprise party today, 2 parties tomorrow.  FunFunFun! But, need to finish bug project. O_O",positive,noon,60-70,Saint Kitts and Nevis
" Ha-ha abbreviate it , so it`s not so bulky",negative,night,70-100,Saint Lucia
 I gave up following  - She seems really nice but clutters the hell out of my feed.  It got annoying.,neutral,morning,0-20,Saint Vincent and the Grenadines
 You should spray yourself with the non smelling repellant that stinks to high heaven,neutral,noon,21-30,Samoa
I am new here,neutral,night,31-45,San Marino
my knees are sore after physio,negative,morning,46-60,Sao Tome and Principe
